2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
,-192660000.0,-381381000.0,24981017.706173,0.0
,0.247,0.273,0.193651,0.198
,-780000000.0,-1397000000.0,129000000.0,0.0
,-780000000.0,-1397000000.0,129000000.0,0.0
,12684000000.0,9229000000.0,15076000000.0,21945000000.0
,4311000000.0,4560000000.0,4262000000.0,3964000000.0
,54095000000.0,54900000000.0,48668000000.0,42494000000.0
,89618000000.0,78358000000.0,25740000000.0,7981000000.0
,143713000000.0,133258000000.0,74408000000.0,50475000000.0
,13271340000.0,10244619000.0,14971981017.706173,21945000000.0
,12682000000.0,9228000000.0,14845000000.0,21952000000.0
1873100000.0,1940100000.0,1955800000.0,1964300000.0,
1832000000.0,1901400000.0,1930100000.0,1946700000.0,
6.99,5.94,4.04,7.0,
7.107533,6.026086,4.067147,7.037551,
,11532000000.0,7907000000.0,13741000000.0,20789000000.0
,74000000.0,57000000.0,41000000.0,31000000.0
,11458000000.0,7850000000.0,13700000000.0,20758000000.0
,170000000.0,180000000.0,113000000.0,154000000.0
,1054000000.0,1198000000.0,1032000000.0,1040000000.0
,12682000000.0,9228000000.0,14845000000.0,21952000000.0
,-151000000.0,-153000000.0,-89000000.0,-73000000.0
,12833000000.0,9381000000.0,14934000000.0,22025000000.0
,-2000000.0,-1000000.0,-231000000.0,7000000.0
,12835000000.0,9382000000.0,15165000000.0,22018000000.0
,4211000000.0,3528000000.0,3642000000.0,5451000000.0
,17046000000.0,12910000000.0,18807000000.0,27469000000.0
,-780000000.0,-1397000000.0,129000000.0,0.0
,-318000000.0,1090000000.0,664000000.0,
,203000000.0,1706000000.0,,
,,,535000000.0,
,259000000.0,781000000.0,0.0,0.0
,-152000000.0,-115000000.0,-460000000.0,459000000.0
,29745000000.0,30712000000.0,28305000000.0,26740000000.0
,1113000000.0,1393000000.0,1556000000.0,1490000000.0
,28632000000.0,29319000000.0,26749000000.0,25250000000.0
,90000000.0,87000000.0,94000000.0,116000000.0
,28542000000.0,29232000000.0,26655000000.0,25134000000.0
,81089000000.0,77024000000.0,74480000000.0,71887000000.0
,81089000000.0,77024000000.0,74480000000.0,71887000000.0
,2438000000.0,2508000000.0,2320000000.0,2314000000.0
,2016000000.0,2078000000.0,2481000000.0,
,19095000000.0,18296000000.0,17584000000.0,19255000000.0
