2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
,-104160000.0,-669024000.0,-51810000.0,-28600000.0
,0.224,0.207,0.165,0.2
,-465000000.0,-3232000000.0,-314000000.0,-143000000.0
,-465000000.0,-3232000000.0,-314000000.0,-143000000.0
,14276000000.0,8516000000.0,11261000000.0,21635000000.0
,2392000000.0,4856000000.0,2455000000.0,2015000000.0
,8056000000.0,6351000000.0,7678000000.0,6470000000.0
,73341000000.0,62164000000.0,21346000000.0,5650000000.0
,81397000000.0,68515000000.0,29024000000.0,12120000000.0
,14636840000.0,11078976000.0,11523190000.0,21749400000.0
,14276000000.0,8516000000.0,11261000000.0,21635000000.0
317600000.0,333600000.0,345800000.0,358100000.0,
312700000.0,328100000.0,340800000.0,352100000.0,
51.32,40.54,22.87,30.06,
51.95,41.07,23.05,30.42,
,13525000000.0,7907000000.0,10764000000.0,21151000000.0
,13525000000.0,7907000000.0,10764000000.0,21151000000.0
,751000000.0,609000000.0,497000000.0,484000000.0
,14276000000.0,8516000000.0,11261000000.0,21635000000.0
,14276000000.0,8516000000.0,11261000000.0,21635000000.0
,14276000000.0,8516000000.0,11261000000.0,21635000000.0
,4121000000.0,2223000000.0,2225000000.0,5409000000.0
,18397000000.0,10739000000.0,13486000000.0,27044000000.0
,-465000000.0,-3232000000.0,-314000000.0,-143000000.0
,237000000.0,644000000.0,576000000.0,534000000.0
,228000000.0,2588000000.0,314000000.0,143000000.0
,0.0,0.0,0.0,0.0
,2392000000.0,2386000000.0,2455000000.0,2015000000.0
,2392000000.0,2386000000.0,2455000000.0,2015000000.0
,17352000000.0,16128000000.0,15960000000.0,18272000000.0
,646000000.0,629000000.0,812000000.0,553000000.0
,16706000000.0,15499000000.0,15148000000.0,17719000000.0
,16706000000.0,15499000000.0,15148000000.0,17719000000.0
,53512000000.0,46254000000.0,47365000000.0,59339000000.0
,53512000000.0,46254000000.0,47365000000.0,59339000000.0
,973000000.0,1053000000.0,1026000000.0,981000000.0
,1652000000.0,1623000000.0,1887000000.0,1648000000.0
,10933000000.0,10065000000.0,9522000000.0,8879000000.0
