2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
,1293071000.0,-447272000.0,119232000.0,-80514000.0
,0.221,0.196,0.184,0.189
,5851000000.0,-2282000000.0,648000000.0,-426000000.0
,5851000000.0,-2282000000.0,648000000.0,-426000000.0
,58471000000.0,49552000000.0,37676000000.0,48334000000.0
,7938000000.0,7512000000.0,7051000000.0,7932000000.0
,92583000000.0,89267000000.0,66710000000.0,52311000000.0
,101350000000.0,81321000000.0,26097000000.0,5553000000.0
,193933000000.0,170588000000.0,92807000000.0,57864000000.0
,53913071000.0,51386728000.0,37147232000.0,48679486000.0
,58471000000.0,49552000000.0,37676000000.0,48334000000.0
2781500000.0,2879000000.0,2943100000.0,2970000000.0,
2776500000.0,2873900000.0,2938600000.0,2965800000.0,
20.02,19.75,16.23,12.09,
20.05,19.79,16.25,12.1,
,56868000000.0,47760000000.0,35892000000.0,46503000000.0
,56868000000.0,47760000000.0,35892000000.0,46503000000.0
,344000000.0,291000000.0,189000000.0,231000000.0
,1259000000.0,1501000000.0,1595000000.0,1600000000.0
,58471000000.0,49552000000.0,37676000000.0,48334000000.0
,58471000000.0,49552000000.0,37676000000.0,48334000000.0
,58471000000.0,49552000000.0,37676000000.0,48334000000.0
,16610000000.0,12060000000.0,8490000000.0,11228000000.0
,75081000000.0,61612000000.0,46166000000.0,59562000000.0
,5851000000.0,-2282000000.0,648000000.0,-426000000.0
,-6525000000.0,4336000000.0,-648000000.0,426000000.0
,674000000.0,-2054000000.0,0.0,0.0
,-1045000000.0,-3218000000.0,-2434000000.0,-309000000.0
,56331000000.0,51056000000.0,45547000000.0,41603000000.0
,4974000000.0,4591000000.0,3911000000.0,3036000000.0
,51357000000.0,46465000000.0,41636000000.0,38567000000.0
,51357000000.0,46465000000.0,41636000000.0,38567000000.0
,169439000000.0,154952000000.0,127727000000.0,121685000000.0
,169439000000.0,154952000000.0,127727000000.0,121685000000.0
,14857000000.0,13836000000.0,14054000000.0,14457000000.0
,11057000000.0,10235000000.0,10174000000.0,9814000000.0
,7310000000.0,6649000000.0,6099000000.0,5043000000.0
