2024-12-31,2023-12-31,2022-12-31,2021-12-31
0.0,0.0,0.0,0.0
0.147,0.12,0.141,0.207
,,-5000000.0,-76000000.0
,,-5000000.0,-76000000.0
19722000000.0,19142000000.0,13677000000.0,22109000000.0
7558000000.0,6271000000.0,6832000000.0,7890000000.0
47676000000.0,52375000000.0,44950000000.0,35779000000.0
43101000000.0,32743000000.0,9074000000.0,3915000000.0
90777000000.0,85118000000.0,54024000000.0,39694000000.0
19722000000.0,19142000000.0,13677000000.0,22109000000.0
19722000000.0,19142000000.0,13677000000.0,22109000000.0
633000000.0,697000000.0,750000000.0,
3467600000.0,3720400000.0,3837000000.0,4096200000.0
3426100000.0,3688300000.0,3805200000.0,4061900000.0
5.37,4.83,3.14,4.99
5.43,4.88,3.17,4.99
18606000000.0,17982000000.0,12562000000.0,20818000000.0
18606000000.0,17982000000.0,12562000000.0,20818000000.0
1116000000.0,1160000000.0,1115000000.0,1291000000.0
19722000000.0,19142000000.0,13677000000.0,22109000000.0
-243000000.0,113000000.0,299000000.0,-1690000000.0
19965000000.0,19029000000.0,13378000000.0,23799000000.0
19965000000.0,19029000000.0,13378000000.0,23799000000.0
3399000000.0,2607000000.0,2251000000.0,5764000000.0
23364000000.0,21636000000.0,15629000000.0,29563000000.0
,,-5000000.0,-76000000.0
,,5000000.0,76000000.0
0.0,0.0,0.0,0.0
37231000000.0,37338000000.0,35595000000.0,36141000000.0
869000000.0,812000000.0,505000000.0,600000000.0
36362000000.0,36526000000.0,35090000000.0,35541000000.0
633000000.0,697000000.0,750000000.0,
35729000000.0,35829000000.0,34340000000.0,35541000000.0
82296000000.0,82597000000.0,74368000000.0,79166000000.0
82296000000.0,82597000000.0,74368000000.0,79166000000.0
7635000000.0,6804000000.0,6256000000.0,6195000000.0
4607000000.0,5085000000.0,5188000000.0,5723000000.0
5125000000.0,6335000000.0,10166000000.0,5699000000.0
